ID,block,trial,whichFilled,choice,responseTime,pointsWon,blockWinnings,tagText
11157249,1,1,none,right,1393,6,6,bad
11157249,1,2,none,top,2502,55,61,bad
11157249,1,3,none,top,1170,18,79,bad
11157249,1,4,none,left,458,93,172,bad
11157249,1,5,none,left,614,92,264,bad
11157249,1,6,none,left,772,90,354,bad
11157249,1,7,none,left,472,85,439,bad
11157249,1,8,none,left,667,95,534,bad
11157249,1,9,none,left,619,89,623,bad
11157249,1,10,none,left,1394,88,711,bad
11157249,1,11,none,left,438,81,792,bad
11157249,1,12,none,left,251,84,876,bad
11157249,1,13,top,left,3758,85,961,bad
11157249,1,14,top,left,441,82,1043,bad
11157249,1,15,top,left,439,95,1138,bad
11157249,1,16,top,left,442,84,1222,bad
11157249,1,17,top,left,401,81,1303,bad
11157249,1,18,top,left,21,75,1378,bad
11157249,1,19,top,left,134,89,1467,bad
11157249,1,20,top,left,470,80,1547,bad
11157249,1,21,top,left,310,82,1629,bad
11157249,1,22,top,left,757,78,1707,bad
11157249,1,23,top,bottom,781,20,1727,bad
11157249,1,24,top,left,180,77,1804,bad
11157249,1,25,top,top,627,16,1820,bad
11157249,1,26,top,right,676,34,1854,bad
11157249,1,27,top,left,559,74,1928,bad
11157249,1,28,top,left,814,87,2015,bad
11157249,1,29,top,left,688,74,2089,bad
11157249,1,30,top,left,504,71,2160,bad
11157249,2,1,none,left,0,50,50,bad
11157249,2,2,none,top,763,24,74,bad
11157249,2,3,none,right,413,29,103,bad
11157249,2,4,none,bottom,680,82,185,bad
11157249,2,5,none,bottom,686,77,262,bad
11157249,2,6,none,bottom,460,96,358,bad
11157249,2,7,none,bottom,128,88,446,bad
11157249,2,8,none,bottom,102,92,538,bad
11157249,2,9,none,bottom,116,86,624,bad
11157249,2,10,none,bottom,287,77,701,bad
11157249,2,11,none,bottom,69,89,790,bad
11157249,2,12,none,bottom,30,76,866,bad
11157249,2,13,none,bottom,179,67,933,bad
11157249,2,14,none,bottom,174,64,997,bad
11157249,2,15,none,bottom,318,65,1062,bad
11157249,2,16,none,bottom,212,67,1129,bad
11157249,2,17,top,bottom,387,61,1190,bad
11157249,2,18,top,bottom,286,84,1274,bad
11157249,2,19,top,bottom,130,72,1346,bad
11157249,2,20,top,bottom,195,66,1412,bad
11157249,2,21,top,bottom,960,63,1475,bad
11157249,2,22,top,bottom,242,59,1534,bad
11157249,2,23,top,bottom,8966,64,1598,bad
11157249,2,24,top,bottom,116,67,1665,bad
11157249,2,25,top,bottom,86,63,1728,bad
11157249,2,26,top,bottom,145,48,1776,bad
11157249,2,27,top,bottom,9,61,1837,bad
11157249,2,28,top,bottom,85,50,1887,bad
11157249,2,29,top,bottom,718,53,1940,bad
11157249,2,30,top,left,1939,63,2003,bad
11157249,3,1,none,top,0,6,6,bad
11157249,3,2,none,right,1173,93,99,bad
11157249,3,3,none,right,406,94,193,bad
11157249,3,4,none,right,822,79,272,bad
11157249,3,5,none,right,336,85,357,bad
11157249,3,6,none,right,140,82,439,bad
11157249,3,7,none,right,392,81,520,bad
11157249,3,8,none,right,314,61,581,bad
11157249,3,9,none,right,392,61,642,bad
11157249,3,10,none,right,121,67,709,bad
11157249,3,11,none,right,163,73,782,bad
