ID,block,trial,whichFilled,choice,responseTime,pointsWon,blockWinnings,fillColour
10143321,1,1,none,bottom,5456,39,39,#FFFF00
10143321,1,2,none,bottom,2702,35,74,#FFFF00
10143321,1,3,none,bottom,2997,34,108,#FFFF00
10143321,1,4,none,top,1565,78,186,#FFFF00
10143321,1,5,none,top,705,84,270,#FFFF00
10143321,1,6,none,top,414,72,342,#FFFF00
10143321,1,7,none,top,410,89,431,#FFFF00
10143321,1,8,none,top,301,78,509,#FFFF00
10143321,1,9,none,top,769,65,574,#FFFF00
10143321,1,10,none,left,985,34,608,#FFFF00
10143321,1,11,none,top,443,72,680,#FFFF00
10143321,1,12,none,right,924,87,767,#FFFF00
10143321,1,13,none,right,468,92,859,#FFFF00
10143321,1,14,none,right,684,86,945,#FFFF00
10143321,1,15,none,right,910,89,1034,#FFFF00
10143321,1,16,none,right,381,86,1120,#FFFF00
10143321,1,17,none,right,700,84,1204,#FFFF00
10143321,1,18,none,right,662,83,1287,#FFFF00
10143321,1,19,none,top,774,63,1350,#FFFF00
10143321,1,20,none,right,357,64,1414,#FFFF00
10143321,1,21,none,right,479,69,1483,#FFFF00
10143321,1,22,none,right,334,67,1550,#FFFF00
10143321,1,23,top,top,1030,64,1614,#FFFF00
10143321,1,24,top,top,796,61,1675,#FFFF00
10143321,1,25,top,top,1166,57,1732,#FFFF00
10143321,1,26,top,right,96,93,1825,#FFFF00
10143321,1,27,top,right,556,92,1917,#FFFF00
10143321,1,28,top,right,932,89,2006,#FFFF00
10143321,1,29,top,right,2641,80,2086,#FFFF00
10143321,1,30,top,right,2606,94,2180,#FFFF00
10143321,2,1,none,top,0,68,68,#2F4F4F
10143321,2,2,none,left,315,36,104,#2F4F4F
10143321,2,3,none,bottom,475,59,163,#2F4F4F
10143321,2,4,none,right,97,43,206,#2F4F4F
10143321,2,5,none,top,2224,73,279,#2F4F4F
10143321,2,6,none,top,387,70,349,#2F4F4F
10143321,2,7,none,top,351,78,427,#2F4F4F
10143321,2,8,none,top,774,78,505,#2F4F4F
10143321,2,9,none,top,669,84,589,#2F4F4F
10143321,2,10,none,top,387,72,661,#2F4F4F
10143321,2,11,none,top,431,79,740,#2F4F4F
10143321,2,12,none,top,453,96,836,#2F4F4F
10143321,2,13,bottom,top,1147,100,936,#2F4F4F
10143321,2,14,bottom,top,3549,86,1022,#2F4F4F
10143321,2,15,bottom,top,496,87,1109,#2F4F4F
10143321,2,16,bottom,top,475,94,1203,#2F4F4F
10143321,2,17,bottom,top,233,99,1302,#2F4F4F
10143321,2,18,bottom,top,342,95,1397,#2F4F4F
10143321,2,19,bottom,top,218,96,1493,#2F4F4F
10143321,2,20,bottom,top,1059,94,1587,#2F4F4F
10143321,2,21,bottom,top,690,96,1683,#2F4F4F
10143321,2,22,bottom,top,347,83,1766,#2F4F4F
10143321,2,23,bottom,top,473,72,1838,#2F4F4F
10143321,2,24,bottom,top,383,62,1900,#2F4F4F
10143321,2,25,bottom,right,446,86,1986,#2F4F4F
10143321,2,26,bottom,right,386,96,2082,#2F4F4F
10143321,2,27,bottom,right,352,93,2175,#2F4F4F
10143321,2,28,bottom,right,629,98,2273,#2F4F4F
10143321,2,29,bottom,right,510,88,2361,#2F4F4F
10143321,2,30,bottom,right,749,86,2447,#2F4F4F
10143321,3,1,none,bottom,0,36,36,#0000CD
10143321,3,2,none,left,259,30,66,#0000CD
10143321,3,3,none,right,321,95,161,#0000CD
10143321,3,4,none,right,364,97,258,#0000CD
10143321,3,5,none,right,165,94,352,#0000CD
10143321,3,6,none,right,581,94,446,#0000CD
10143321,3,7,none,right,895,97,543,#0000CD
10143321,3,8,none,right,1163,93,636,#0000CD
